word,category,AA score,EA score,AA:EA
ineffective,incompetent,0.07434272499418013,0.07539825747092717,0.9860005720005659
timid,incompetent,0.06526295614236485,0.062125631542082296,1.0504996814101988
passive,incompetent,0.06044862944580668,0.06157870849783758,0.9816482177103376
unproductive,incompetent,0.059096200662111915,0.051137945052483536,1.1556232969756748
unambitious,incompetent,0.05596575456621382,0.048099754571691404,1.1635351378518648
unassertive,incompetent,0.051844620662266874,0.044665149066747546,1.1607399000234015
indecisive,incompetent,0.04951739908677141,0.038834208697463984,1.2750974140488944
incompetent,incompetent,0.049201380034501356,0.03999499721759376,1.2301883599796255
competent,competent,0.07382699972904834,0.08433243429818195,0.8754283016189408
productive,competent,0.07142513827167862,0.07417335684001927,0.9629487098141164
effective,competent,0.0703284539998179,0.07212153086156022,0.9751381197775156
strong,competent,0.06875839842735759,0.07766530779085681,0.8853167570328255
decisive,competent,0.06859906429892168,0.07078078843370215,0.9691763233631677
active,competent,0.06840542523559254,0.07167175259058846,0.9544265734137379
ambitious,competent,0.05698057050439757,0.06339562828402402,0.8988091457839045
bold,competent,0.05599628393896866,0.06402454878423985,0.8746064595890223
